文件1,文件2,相似度
sub021,sub093,0.5411
sub021,sub094,0.5034
sub021,sub095,0.5124
sub021,sub096,0.5421
sub021,sub097,0.5931
sub021,sub098,0.5643
sub021,sub099,0.5358
sub021,sub100,0.5780
sub021,sub101,0.5555
sub021,sub102,0.6403
sub021,sub103,0.5699
sub021,sub104,0.5952
sub021,sub105,0.4109
sub021,sub106,0.5712
sub021,sub108,0.5062
sub021,sub109,0.5728
sub021,sub110,0.5591
sub021,sub111,0.6667
sub021,sub112,0.6067
sub021,sub113,0.4243
sub021,sub114,0.5794
sub021,sub115,0.7739
sub021,sub117,0.5116
sub021,sub119,0.7619
sub021,sub120,0.6536
sub021,sub121,0.5555
sub021,sub122,0.5025
sub021,sub123,0.5492
sub021,sub124,0.5860
sub021,sub125,0.6268
sub021,sub126,0.5524
sub021,sub127,0.5905
sub021,sub128,0.6346
sub021,sub129,0.4956
sub021,sub130,0.5045
sub021,sub131,0.6238
sub021,sub132,0.5867
sub021,sub133,0.4108
sub021,sub134,0.5683
sub021,sub135,0.5738
sub021,sub136,0.5878
sub021,sub137,0.4535
sub021,sub138,0.5693
sub021,sub139,0.6056
sub021,sub140,0.5828
sub021,sub141,0.5535
sub021,sub142,0.5032
sub021,sub143,0.5788
sub021,sub144,0.4899
sub021,sub145,0.4989
sub021,sub146,0.7756
sub021,sub147,0.5558
sub021,sub148,0.5866
sub021,sub149,0.5857
sub021,sub150,0.5299
sub021,sub151,0.5222
sub021,sub152,0.6533
sub021,sub153,0.6727
sub021,sub154,0.6026
sub021,sub155,0.8687
sub021,sub156,0.4736
sub021,sub157,0.5514
sub021,sub158,0.7113
sub021,sub159,0.6915
sub021,sub160,0.5049
sub021,sub161,0.5690
sub021,sub162,0.4536
sub021,sub163,0.5921
sub021,sub164,0.4124
sub021,sub165,0.4609
sub021,sub166,0.5981
sub021,sub167,0.6816
sub021,sub168,0.5130
sub021,sub169,0.7003
sub021,sub170,0.5641
sub021,sub171,0.6465
sub021,sub172,0.5204
sub021,sub173,0.6188
sub021,sub174,0.4662
sub022,sub023,0.5822
sub022,sub024,0.3917
sub022,sub025,0.6124
sub022,sub026,0.4598
sub022,sub027,0.5350
sub022,sub028,0.5094
sub022,sub029,0.4869
sub022,sub031,0.4913
sub022,sub032,0.4614
sub022,sub033,0.4580
sub022,sub034,0.5148
sub022,sub035,0.5462
sub022,sub036,0.5289
sub022,sub037,0.5397
sub022,sub038,0.5989
sub022,sub039,0.5233
sub022,sub040,0.5070
sub022,sub041,0.4834
sub022,sub042,0.6509
sub022,sub043,0.4986
sub022,sub044,0.5775
sub022,sub045,0.5246
sub022,sub048,0.4378
sub022,sub049,0.5326
sub022,sub050,0.5503
sub022,sub051,0.7754
sub022,sub052,0.5103
sub022,sub053,0.5026
sub022,sub054,0.5486
sub022,sub055,0.4833
sub022,sub056,0.5241
sub022,sub057,0.5597
sub022,sub058,0.5624
sub022,sub059,0.4284
sub022,sub060,0.4823
sub022,sub061,0.5584
sub022,sub062,0.5630
sub022,sub063,0.5178
sub022,sub064,0.5181
sub022,sub065,0.5066
sub022,sub066,0.4916
sub022,sub067,0.5708
sub022,sub068,0.5326
sub022,sub069,0.5437
sub022,sub070,0.5477
sub022,sub071,0.5926
sub022,sub072,0.5248
sub022,sub073,0.4406
sub022,sub074,0.5064
sub022,sub075,0.5144
sub022,sub076,0.6207
sub022,sub077,0.4744
sub022,sub078,0.4236
sub022,sub079,0.4595
sub022,sub080,0.5538
sub022,sub081,0.5010
sub022,sub082,0.4657
sub022,sub083,0.5547
sub022,sub084,0.5140
sub022,sub085,0.5458
sub022,sub086,0.4990
sub022,sub087,0.5451
sub022,sub088,0.5264
sub022,sub089,0.4241
sub022,sub090,0.4340
sub022,sub091,0.4823
sub022,sub092,0.4350
sub022,sub093,0.6298
sub022,sub094,0.5781
sub022,sub095,0.6973
sub022,sub096,0.5102
sub022,sub097,0.5698
sub022,sub098,0.5240
sub022,sub099,0.5186
sub022,sub100,0.6295
sub022,sub101,0.3949
sub022,sub102,0.4531
sub022,sub103,0.4277
sub022,sub104,0.5102
sub022,sub105,0.5287
sub022,sub106,0.5281
sub022,sub108,0.5218
sub022,sub109,0.5348
sub022,sub110,0.4635
sub022,sub111,0.5248
sub022,sub112,0.5550
sub022,sub113,0.5105
sub022,sub114,0.5157
sub022,sub115,0.4646
sub022,sub117,0.4352
sub022,sub119,0.4697
sub022,sub120,0.5172
sub022,sub121,0.5390
sub022,sub122,0.5048
sub022,sub123,0.5043
sub022,sub124,0.6991
sub022,sub125,0.5528
sub022,sub126,0.5839
sub022,sub127,0.6315
sub022,sub128,0.4766
sub022,sub129,0.3928
sub022,sub130,0.4790
sub022,sub131,0.5066
sub022,sub132,0.4728
sub022,sub133,0.4811
sub022,sub134,0.4692
sub022,sub135,0.5666
sub022,sub136,0.5936
sub022,sub137,0.4221
sub022,sub138,0.6184
sub022,sub139,0.5723
sub022,sub140,0.5385
sub022,sub141,0.5279
sub022,sub142,0.5739
sub022,sub143,0.5189
sub022,sub144,0.6109
sub022,sub145,0.4650
sub022,sub146,0.3907
sub022,sub147,0.5405
sub022,sub148,0.5314
sub022,sub149,0.6815
sub022,sub150,0.5719
sub022,sub151,0.4633
sub022,sub152,0.5093
sub022,sub153,0.3615
sub022,sub154,0.5359
sub022,sub155,0.4081
sub022,sub156,0.4725
sub022,sub157,0.5786
sub022,sub158,0.4081
sub022,sub159,0.6332
sub022,sub160,0.5940
sub022,sub161,0.4787
sub022,sub162,0.4909
sub022,sub163,0.5796
sub022,sub164,0.3889
sub022,sub165,0.4993
sub022,sub166,0.5035
sub022,sub167,0.6450
sub022,sub168,0.5625
sub022,sub169,0.5809
sub022,sub170,0.4333
sub022,sub171,0.4851
sub022,sub172,0.4772
sub022,sub173,0.4922
sub022,sub174,0.5076
sub023,sub024,0.4569
sub023,sub025,0.6152
sub023,sub026,0.5607
sub023,sub027,0.6373
sub023,sub028,0.5324
sub023,sub029,0.5404
sub023,sub031,0.6454
sub023,sub032,0.5267
sub023,sub033,0.5881
sub023,sub034,0.5937
sub023,sub035,0.6855
sub023,sub036,0.4710
sub023,sub037,0.5373
sub023,sub038,0.4377
sub023,sub039,0.5823
sub023,sub040,0.5852
sub023,sub041,0.5826
sub023,sub042,0.5830
sub023,sub043,0.6141
sub023,sub044,0.6729
sub023,sub045,0.6891
sub023,sub048,0.5463
sub023,sub049,0.5466
sub023,sub050,0.5531
sub023,sub051,0.4423
sub023,sub052,0.5521
sub023,sub053,0.7024
sub023,sub054,0.5985
sub023,sub055,0.4534
sub023,sub056,0.6924
sub023,sub057,0.6146
sub023,sub058,0.4239
sub023,sub059,0.5362
sub023,sub060,0.3821
sub023,sub061,0.7163
sub023,sub062,0.6936
sub023,sub063,0.4394
sub023,sub064,0.4119
sub023,sub065,0.6821
sub023,sub066,0.4993
sub023,sub067,0.7331
sub023,sub068,0.6508
sub023,sub069,0.7384
sub023,sub070,0.5484
sub023,sub071,0.5877
sub023,sub072,0.6553
sub023,sub073,0.4933
sub023,sub074,0.5871
sub023,sub075,0.5583
sub023,sub076,0.5763
sub023,sub077,0.4069
sub023,sub078,0.5395
sub023,sub079,0.5530
sub023,sub080,0.5826
sub023,sub081,0.5061
sub023,sub082,0.4715
sub023,sub083,0.7877
sub023,sub084,0.5696
sub023,sub085,0.6405
sub023,sub086,0.5452
sub023,sub087,0.5738
sub023,sub088,0.6201
sub023,sub089,0.4065
sub023,sub090,0.5300
sub023,sub091,0.5936
sub023,sub092,0.5024
sub023,sub093,0.5451
sub023,sub094,0.7317
sub023,sub095,0.5454
sub023,sub096,0.6184
sub023,sub097,0.6136
sub023,sub098,0.7395
sub023,sub099,0.6634
sub023,sub100,0.6973
sub023,sub101,0.4908
sub023,sub102,0.5830
sub023,sub103,0.5156
sub023,sub104,0.5634
sub023,sub105,0.5413
sub023,sub106,0.6540
sub023,sub108,0.5407
sub023,sub109,0.5472
sub023,sub110,0.5048
sub023,sub111,0.6401
sub023,sub112,0.5524
sub023,sub113,0.5781
sub023,sub114,0.6323
sub023,sub115,0.6039
sub023,sub117,0.5201
sub023,sub119,0.5363
sub023,sub120,0.5760
sub023,sub121,0.6431
sub023,sub122,0.4034
sub023,sub123,0.5059
sub023,sub124,0.6425
sub023,sub125,0.6796
sub023,sub126,0.6467
sub023,sub127,0.5734
sub023,sub128,0.5872
sub023,sub129,0.5381
sub023,sub130,0.4864
sub023,sub131,0.6383
sub023,sub132,0.6432
sub023,sub133,0.5007
sub023,sub134,0.5721
sub023,sub135,0.5296
sub023,sub136,0.7282
sub023,sub137,0.3722
sub023,sub138,0.5599
sub023,sub139,0.5485
sub023,sub140,0.6355
sub023,sub141,0.6003
sub023,sub142,0.7114
sub023,sub143,0.4469
sub023,sub144,0.7339
sub023,sub145,0.6116
sub023,sub146,0.4601
sub023,sub147,0.5946
sub023,sub148,0.5305
sub023,sub149,0.5874
sub023,sub150,0.6745
sub023,sub151,0.5306
sub023,sub152,0.5662
sub023,sub153,0.4550
sub023,sub154,0.5502
sub023,sub155,0.3885
sub023,sub156,0.5607
sub023,sub157,0.4510
sub023,sub158,0.5353
sub023,sub159,0.5567
sub023,sub160,0.6239
sub023,sub161,0.5853
sub023,sub162,0.6031
sub023,sub163,0.5394
sub023,sub164,0.4229
sub023,sub165,0.5255
sub023,sub166,0.5650
sub023,sub167,0.6446
sub023,sub168,0.4340
sub023,sub169,0.6203
sub023,sub170,0.5146
sub023,sub171,0.6222
sub023,sub172,0.6243
sub023,sub173,0.6062
sub023,sub174,0.5376
sub024,sub025,0.4617
sub024,sub026,0.6460
sub024,sub027,0.4736
sub024,sub028,0.4699
sub024,sub029,0.4671
sub024,sub031,0.6098
sub024,sub032,0.6822
sub024,sub033,0.6163
sub024,sub034,0.5335
sub024,sub035,0.5708
sub024,sub036,0.4625
sub024,sub037,0.5326
sub024,sub038,0.3796
sub024,sub039,0.5711
sub024,sub040,0.5408
sub024,sub041,0.8719
sub024,sub042,0.5123
sub024,sub043,0.4390
sub024,sub044,0.5703
sub024,sub045,0.4557
sub024,sub048,0.8906
sub024,sub049,0.4634
sub024,sub050,0.4918
sub024,sub051,0.4180
sub024,sub052,0.4277
sub024,sub053,0.3912
sub024,sub054,0.5865
sub024,sub055,0.5287
sub024,sub056,0.5609
sub024,sub057,0.5827
sub024,sub058,0.4007
sub024,sub059,0.4182
sub024,sub060,0.4489
sub024,sub061,0.5848
sub024,sub062,0.4843
sub024,sub063,0.4567
sub024,sub064,0.3448
sub024,sub065,0.5119
sub024,sub066,0.6143
sub024,sub067,0.5391
sub024,sub068,0.4403
sub024,sub069,0.5803
sub024,sub070,0.4225
sub024,sub071,0.4781
sub024,sub072,0.4419
sub024,sub073,0.5714
sub024,sub074,0.4356
sub024,sub075,0.4583
sub024,sub076,0.4449
sub024,sub077,0.4112
sub024,sub078,0.6416
sub024,sub079,0.5184
sub024,sub080,0.5796
sub024,sub081,0.5579
sub024,sub082,0.4637
sub024,sub083,0.5094
sub024,sub084,0.7181
sub024,sub085,0.6123
sub024,sub086,0.5247
sub024,sub087,0.5416
sub024,sub088,0.4742
sub024,sub089,0.3778
sub024,sub090,0.6340
sub024,sub091,0.4432
sub024,sub092,0.8371
sub024,sub093,0.4439
sub024,sub094,0.4639
sub024,sub095,0.3692
sub024,sub096,0.4483
sub024,sub097,0.5821
sub024,sub098,0.5548
sub024,sub099,0.5188
sub024,sub100,0.5185
sub024,sub101,0.6032
sub024,sub102,0.6395
sub024,sub103,0.5753
sub024,sub104,0.5923
sub024,sub105,0.3991
sub024,sub106,0.5616
sub024,sub108,0.5205
sub024,sub109,0.5734
sub024,sub110,0.5537
sub024,sub111,0.6060
sub024,sub112,0.5390
sub024,sub113,0.4108
sub024,sub114,0.5815
sub024,sub115,0.8340
sub024,sub117,0.5170
sub024,sub119,0.8312
sub024,sub120,0.6003
sub024,sub121,0.5760
sub024,sub122,0.3757
sub024,sub123,0.4894
sub024,sub124,0.5350
sub024,sub125,0.6143
sub024,sub126,0.4909
sub024,sub127,0.5522
sub024,sub128,0.6236
sub024,sub129,0.5171
sub024,sub130,0.5516
sub024,sub131,0.5703
sub024,sub132,0.5881
sub024,sub133,0.3818
sub024,sub134,0.6213
sub024,sub135,0.5392
sub024,sub136,0.5356
sub024,sub137,0.3679
sub024,sub138,0.4428
sub024,sub139,0.5497
sub024,sub140,0.5244
sub024,sub141,0.4993
sub024,sub142,0.4445
sub024,sub143,0.4702
sub024,sub144,0.4350
sub024,sub145,0.5371
sub024,sub146,0.8870
sub024,sub147,0.4898
sub024,sub148,0.5836
sub024,sub149,0.4724
sub024,sub150,0.4594
sub024,sub151,0.5644
sub024,sub152,0.6415
sub024,sub153,0.7169
sub024,sub154,0.5136
sub024,sub155,0.8859
sub024,sub156,0.4973
sub024,sub157,0.3940
sub024,sub158,0.7566
sub024,sub159,0.5942
sub024,sub160,0.4453
sub024,sub161,0.5119
sub024,sub162,0.4508
sub024,sub163,0.5624
sub024,sub164,0.4134
sub024,sub165,0.4857
sub024,sub166,0.6078
sub024,sub167,0.5438
sub024,sub168,0.3564
sub024,sub169,0.6702
sub024,sub170,0.5996
sub024,sub171,0.6780
sub024,sub172,0.5388
sub024,sub173,0.5719
sub024,sub174,0.4683
sub025,sub026,0.5152
sub025,sub027,0.6089
sub025,sub028,0.6058
sub025,sub029,0.5382
sub025,sub031,0.5956
sub025,sub032,0.5352
sub025,sub033,0.4527
sub025,sub034,0.5486
sub025,sub035,0.7256
sub025,sub036,0.4623
sub025,sub037,0.5434
sub025,sub038,0.4406
sub025,sub039,0.6170
sub025,sub040,0.6202
sub025,sub041,0.5297
sub025,sub042,0.6058
sub025,sub043,0.6307
sub025,sub044,0.5516
sub025,sub045,0.4671
sub025,sub048,0.4804
sub025,sub049,0.5788
sub025,sub050,0.6080
sub025,sub051,0.4577
sub025,sub052,0.5495
sub025,sub053,0.7484
sub025,sub054,0.6274
sub025,sub055,0.4982
sub025,sub056,0.5038
sub025,sub057,0.5745
sub025,sub058,0.5234
sub025,sub059,0.5233
sub025,sub060,0.5088
sub025,sub061,0.5135
sub025,sub062,0.5627
sub025,sub063,0.5422
sub025,sub064,0.3913
sub025,sub065,0.4344
sub025,sub066,0.5155
sub025,sub067,0.5276
sub025,sub068,0.5346
sub025,sub069,0.5467
sub025,sub070,0.5378
sub025,sub071,0.6408
sub025,sub072,0.4621
sub025,sub073,0.4744
sub025,sub074,0.5951
sub025,sub075,0.5649
sub025,sub076,0.4811
sub025,sub077,0.3430
sub025,sub078,0.4743
sub025,sub079,0.5702
sub025,sub080,0.5721
sub025,sub081,0.5083
sub025,sub082,0.4919
sub025,sub083,0.5345
sub025,sub084,0.5200
sub025,sub085,0.5996
sub025,sub086,0.4888
sub025,sub087,0.5575
sub025,sub088,0.5977
sub025,sub089,0.4380
sub025,sub090,0.4873
sub025,sub091,0.5781
sub025,sub092,0.4075
sub025,sub093,0.5218
sub025,sub094,0.4829
sub025,sub095,0.4820
sub025,sub096,0.4539
sub025,sub097,0.5678
sub025,sub098,0.5432
sub025,sub099,0.4697
sub025,sub100,0.5731
sub025,sub101,0.5050
sub025,sub102,0.5472
sub025,sub103,0.4526
sub025,sub104,0.5449
sub025,sub105,0.6081
sub025,sub106,0.4991
sub025,sub108,0.6153
sub025,sub109,0.5786
sub025,sub110,0.4241
sub025,sub111,0.6497
sub025,sub112,0.4987
sub025,sub113,0.4789
sub025,sub114,0.5612
sub025,sub115,0.4424
sub025,sub117,0.4700
sub025,sub119,0.5630
sub025,sub120,0.5365
sub025,sub121,0.5160
sub025,sub122,0.4433
sub025,sub123,0.5588
sub025,sub124,0.6021
sub025,sub125,0.5501
sub025,sub126,0.8284
sub025,sub127,0.5922
sub025,sub128,0.5017
sub025,sub129,0.5053
sub025,sub130,0.5625
sub025,sub131,0.5372
sub025,sub132,0.5433
sub025,sub133,0.4422
sub025,sub134,0.4701
sub025,sub135,0.5311
sub025,sub136,0.5353
sub025,sub137,0.4289
sub025,sub138,0.4836
sub025,sub139,0.5396
sub025,sub140,0.5961
sub025,sub141,0.5370
sub025,sub142,0.5709
sub025,sub143,0.5283
sub025,sub144,0.5434
sub025,sub145,0.4069
sub025,sub146,0.4436
sub025,sub147,0.7099
sub025,sub148,0.5773
sub025,sub149,0.5636
sub025,sub150,0.4845
sub025,sub151,0.5419
sub025,sub152,0.5305
sub025,sub153,0.4940
sub025,sub154,0.4747
sub025,sub155,0.4110
sub025,sub156,0.5390
sub025,sub157,0.4565
sub025,sub158,0.6073
sub025,sub159,0.4873
sub025,sub160,0.6270
sub025,sub161,0.5031
sub025,sub162,0.5503
sub025,sub163,0.5311
sub025,sub164,0.4478
sub025,sub165,0.5016
sub025,sub166,0.5672
sub025,sub167,0.6650
sub025,sub168,0.4529
sub025,sub169,0.5738
sub025,sub170,0.4567
sub025,sub171,0.4461
sub025,sub172,0.4883
sub025,sub173,0.5087
sub025,sub174,0.4996
sub026,sub027,0.5603
sub026,sub028,0.5344
sub026,sub029,0.5025
sub026,sub031,0.6836
sub026,sub032,0.6475
sub026,sub033,0.4345
sub026,sub034,0.5669
sub026,sub035,0.6181
sub026,sub036,0.3891
sub026,sub037,0.4399
sub026,sub038,0.3721
sub026,sub039,0.5304
sub026,sub040,0.6269
sub026,sub041,0.7095
sub026,sub042,0.5024
sub026,sub043,0.5077
sub026,sub044,0.4702
sub026,sub045,0.3874
sub026,sub048,0.6440
sub026,sub049,0.5606
sub026,sub050,0.6601
sub026,sub051,0.4063
sub026,sub052,0.5001
sub026,sub053,0.5309
sub026,sub054,0.6095
sub026,sub055,0.4483
sub026,sub056,0.4542
sub026,sub057,0.5282
sub026,sub058,0.4180
sub026,sub059,0.4298
sub026,sub060,0.4521
sub026,sub061,0.4677
sub026,sub062,0.5146
sub026,sub063,0.4859
sub026,sub064,0.3332
sub026,sub065,0.4864
sub026,sub066,0.4034
sub026,sub067,0.5439
sub026,sub068,0.4171
sub026,sub069,0.5345
sub026,sub070,0.4572
sub026,sub071,0.5227
sub026,sub072,0.3642
sub026,sub073,0.5870
sub026,sub074,0.6422
sub026,sub075,0.5465
sub026,sub076,0.4486
sub026,sub077,0.2994
sub026,sub078,0.5826
sub026,sub079,0.7107
sub026,sub080,0.5336
sub026,sub081,0.5402
sub026,sub082,0.4680
sub026,sub083,0.5729
sub026,sub084,0.6783
sub026,sub085,0.6312
sub026,sub086,0.5371
sub026,sub087,0.5763
sub026,sub088,0.5694
sub026,sub089,0.2790
sub026,sub090,0.4858
sub026,sub091,0.5290
sub026,sub092,0.5812
sub026,sub093,0.3977
sub026,sub094,0.4800
sub026,sub095,0.4342
sub026,sub096,0.3761
sub026,sub097,0.6090
sub026,sub098,0.5707
sub026,sub099,0.4216
sub026,sub100,0.5517
sub026,sub101,0.6564
sub026,sub102,0.5987
sub026,sub103,0.5983
sub026,sub104,0.5123
sub026,sub105,0.4775
sub026,sub106,0.5247
sub026,sub108,0.5615
sub026,sub109,0.5421
sub026,sub110,0.5301
sub026,sub111,0.5284
sub026,sub112,0.4792
sub026,sub113,0.5196
sub026,sub114,0.6285
sub026,sub115,0.5594
sub026,sub117,0.4766
sub026,sub119,0.7654
sub026,sub120,0.5338
sub026,sub121,0.4606
sub026,sub122,0.3462
sub026,sub123,0.4445
sub026,sub124,0.5341
sub026,sub125,0.5290
sub026,sub126,0.5912
sub026,sub127,0.5309
sub026,sub128,0.6263
sub026,sub129,0.7587
sub026,sub130,0.4919
sub026,sub131,0.4990
sub026,sub132,0.6216
sub026,sub133,0.4362
sub026,sub134,0.4237
sub026,sub135,0.5258
sub026,sub136,0.5382
sub026,sub137,0.3647
sub026,sub138,0.3995
sub026,sub139,0.5686
sub026,sub140,0.4932
sub026,sub141,0.4758
sub026,sub142,0.5012
sub026,sub143,0.4025
sub026,sub144,0.5083
sub026,sub145,0.3299
sub026,sub146,0.6820
sub026,sub147,0.5598
sub026,sub148,0.4868
sub026,sub149,0.5072
sub026,sub150,0.3776
sub026,sub151,0.5837
sub026,sub152,0.5127
sub026,sub153,0.8006
sub026,sub154,0.4385
sub026,sub155,0.6390
sub026,sub156,0.6216
sub026,sub157,0.3333
sub026,sub158,0.6955
sub026,sub159,0.4902
sub026,sub160,0.5240
sub026,sub161,0.4294
sub026,sub162,0.6007
sub026,sub163,0.4299
sub026,sub164,0.4095
sub026,sub165,0.7249
sub026,sub166,0.5999
sub026,sub167,0.6404
sub026,sub168,0.3198
sub026,sub169,0.6285
sub026,sub170,0.4444
sub026,sub171,0.4644
sub026,sub172,0.4305
sub026,sub173,0.5256
sub026,sub174,0.4341
sub027,sub028,0.5589
sub027,sub029,0.4540
sub027,sub031,0.5724
sub027,sub032,0.4682
sub027,sub033,0.3504
sub027,sub034,0.5168
sub027,sub035,0.5879
sub027,sub036,0.4103
sub027,sub037,0.3644
sub027,sub038,0.3785
sub027,sub039,0.5273
sub027,sub040,0.5184
sub027,sub041,0.5214
sub027,sub042,0.5584
sub027,sub043,0.5531
sub027,sub044,0.4639
sub027,sub045,0.4130
sub027,sub048,0.4507
sub027,sub049,0.5337
sub027,sub050,0.5423
sub027,sub051,0.3968
sub027,sub052,0.5049
sub027,sub053,0.5901
sub027,sub054,0.4986
sub027,sub055,0.4045
sub027,sub056,0.4613
sub027,sub057,0.4770
sub027,sub058,0.4146
sub027,sub059,0.5271
sub027,sub060,0.3911
sub027,sub061,0.4949
sub027,sub062,0.5362
sub027,sub063,0.4723
sub027,sub064,0.3236
sub027,sub065,0.3967
sub027,sub066,0.4257
sub027,sub067,0.4915
sub027,sub068,0.4092
sub027,sub069,0.4860
sub027,sub070,0.5196
sub027,sub071,0.8124
sub027,sub072,0.4078
sub027,sub073,0.4144
sub027,sub074,0.6395
sub027,sub075,0.5805
sub027,sub076,0.6130
sub027,sub077,0.3619
sub027,sub078,0.4247
sub027,sub079,0.4809
sub027,sub080,0.5246
sub027,sub081,0.3770
sub027,sub082,0.3973
sub027,sub083,0.5537
sub027,sub084,0.5189
sub027,sub085,0.5463
sub027,sub086,0.4474
sub027,sub087,0.4864
sub027,sub088,0.6317
sub027,sub089,0.3763
sub027,sub090,0.4358
sub027,sub091,0.5650
sub027,sub092,0.4363
sub027,sub093,0.5053
sub027,sub094,0.4489
sub027,sub095,0.5935
sub027,sub096,0.3969
sub027,sub097,0.5489
sub027,sub098,0.4611
sub027,sub099,0.3986
sub027,sub100,0.4906
sub027,sub101,0.4882
sub027,sub102,0.4569
sub027,sub103,0.4354
sub027,sub104,0.4960
sub027,sub105,0.4469
sub027,sub106,0.3931
sub027,sub108,0.5008
sub027,sub109,0.4797
sub027,sub110,0.3734
sub027,sub111,0.5410
sub027,sub112,0.4845
sub027,sub113,0.5842
sub027,sub114,0.5142
sub027,sub115,0.4481
sub027,sub117,0.3690
sub027,sub119,0.5732
sub027,sub120,0.5066
sub027,sub121,0.4237
sub027,sub122,0.4446
sub027,sub123,0.5254
sub027,sub124,0.4910
sub027,sub125,0.5007
sub027,sub126,0.6569
sub027,sub127,0.5788
sub027,sub128,0.4804
sub027,sub129,0.5313
sub027,sub130,0.4599
sub027,sub131,0.4841
sub027,sub132,0.5743
sub027,sub133,0.4578
sub027,sub134,0.3791
sub027,sub135,0.5205
sub027,sub136,0.4237
sub027,sub137,0.4394
sub027,sub138,0.4425
sub027,sub139,0.5647
sub027,sub140,0.4914
sub027,sub141,0.4369
sub027,sub142,0.4627
sub027,sub143,0.4595
sub027,sub144,0.5064
sub027,sub145,0.3489
sub027,sub146,0.5623
sub027,sub147,0.6419
sub027,sub148,0.6076
sub027,sub149,0.4953
sub027,sub150,0.4141
sub027,sub151,0.4702
sub027,sub152,0.4601
sub027,sub153,0.4799
sub027,sub154,0.4528
sub027,sub155,0.4039
sub027,sub156,0.5735
sub027,sub157,0.3966
sub027,sub158,0.4976
sub027,sub159,0.4788
sub027,sub160,0.6257
sub027,sub161,0.3836
sub027,sub162,0.4607
sub027,sub163,0.4501
sub027,sub164,0.5071
sub027,sub165,0.5231
sub027,sub166,0.6804
sub027,sub167,0.6371
sub027,sub168,0.4351
sub027,sub169,0.5347
sub027,sub170,0.3570
sub027,sub171,0.4002
sub027,sub172,0.3985
sub027,sub173,0.4054
sub027,sub174,0.5354
sub028,sub029,0.3824
sub028,sub031,0.6556
sub028,sub032,0.6024
sub028,sub033,0.4933
sub028,sub034,0.5669
sub028,sub035,0.6178
sub028,sub036,0.6654
sub028,sub037,0.6835
sub028,sub038,0.4785
sub028,sub039,0.6514
sub028,sub040,0.6640
sub028,sub041,0.5561
sub028,sub042,0.5807
sub028,sub043,0.4476
sub028,sub044,0.5614
sub028,sub045,0.4170
sub028,sub048,0.4653
sub028,sub049,0.5308
sub028,sub050,0.5611
sub028,sub051,0.4781
sub028,sub052,0.7197
sub028,sub053,0.5276
sub028,sub054,0.6111
sub028,sub055,0.5660
sub028,sub056,0.5828
sub028,sub057,0.6156
sub028,sub058,0.5627
sub028,sub059,0.3600
sub028,sub060,0.6891
sub028,sub061,0.5628
sub028,sub062,0.5791
sub028,sub063,0.5564
sub028,sub064,0.4582
sub028,sub065,0.4284
sub028,sub066,0.5676
sub028,sub067,0.5284
sub028,sub068,0.6417
sub028,sub069,0.5154
sub028,sub070,0.5942
sub028,sub071,0.5850
sub028,sub072,0.4606
sub028,sub073,0.5904
sub028,sub074,0.6309
sub028,sub075,0.5761
sub028,sub076,0.4116
sub028,sub077,0.4016
sub028,sub078,0.5234
sub028,sub079,0.5394
sub028,sub080,0.6795
sub028,sub081,0.6411
sub028,sub082,0.6125
sub028,sub083,0.5859
sub028,sub084,0.5522
sub028,sub085,0.6155
sub028,sub086,0.4860
sub028,sub087,0.5803
sub028,sub088,0.5930
sub028,sub089,0.5727
sub028,sub090,0.5762
sub028,sub091,0.5835
sub028,sub092,0.3893
sub028,sub093,0.4713
sub028,sub094,0.4032
sub028,sub095,0.4053
sub028,sub096,0.5367
sub028,sub097,0.5629
sub028,sub098,0.4833
sub028,sub099,0.4594
sub028,sub100,0.4675
sub028,sub101,0.4138
sub028,sub102,0.5316
sub028,sub103,0.4454
sub028,sub104,0.6674
sub028,sub105,0.3839
sub028,sub106,0.4434
sub028,sub108,0.6031
sub028,sub109,0.6623
sub028,sub110,0.3857
sub028,sub111,0.5710
sub028,sub112,0.5911
sub028,sub113,0.4561
sub028,sub114,0.5366
sub028,sub115,0.4292
sub028,sub117,0.4549
sub028,sub119,0.5315
sub028,sub120,0.6300
sub028,sub121,0.5207
sub028,sub122,0.5824
sub028,sub123,0.5789
sub028,sub124,0.4945
sub028,sub125,0.5967
sub028,sub126,0.5650
sub028,sub127,0.5843
sub028,sub128,0.5922
sub028,sub129,0.5728
sub028,sub130,0.6071
sub028,sub131,0.6059
sub028,sub132,0.6968
sub028,sub133,0.4174
sub028,sub134,0.5054
sub028,sub135,0.6366
sub028,sub136,0.4471
sub028,sub137,0.5849
sub028,sub138,0.4893
sub028,sub139,0.5725
sub028,sub140,0.7145
sub028,sub141,0.6505
sub028,sub142,0.4574
sub028,sub143,0.6676
sub028,sub144,0.4994
sub028,sub145,0.4416
sub028,sub146,0.4196
sub028,sub147,0.5475
sub028,sub148,0.5910
sub028,sub149,0.5024
sub028,sub150,0.4894
sub028,sub151,0.4178
sub028,sub152,0.6499
sub028,sub153,0.5033
sub028,sub154,0.5830
sub028,sub155,0.4468
sub028,sub156,0.5117
sub028,sub157,0.5688
sub028,sub158,0.4855
sub028,sub159,0.5063
sub028,sub160,0.5982
sub028,sub161,0.6351
sub028,sub162,0.5178
sub028,sub163,0.5308
sub028,sub164,0.3787
sub028,sub165,0.4057
sub028,sub166,0.6677
sub028,sub167,0.4982
sub028,sub168,0.5605
sub028,sub169,0.6080
sub028,sub170,0.4974
